province,points
Leyda Valley,80
Vinho Verde,80
Maule Valley,80
Central Italy,80
Catalonia,80
Mendoza Province,80
Colchagua Valley,80
Galicia,80
California,80
Southwest France,80
Languedoc-Roussillon,80
California,80
Rapel Valley,80
Chile,80
Casablanca Valley,80
California,80
Oregon,80
California,80
Oregon,80
California,80
Vale dos Vinhedos,80
Other,80
Northern Spain,80
Mendoza Province,80
California,80
Mendoza Province,80
Tuscany,80
Languedoc-Roussillon,80
France Other,80
Canterbury,80
Northern Spain,80
California,80
Mendoza Province,80
California,80
Ohio,80
California,80
Mendoza Province,80
Leyda Valley,80
California,80
Other,80
Virginia,80
Mendoza Province,80
Central Spain,80
Maule Valley,80
Northern Spain,80
Central Spain,80
Northern Spain,80
California,80
Catalonia,80
Levante,80
California,80
Central Italy,80
Northern Spain,80
Rapel Valley,80
Northern Spain,80
California,80
Colchagua Valley,80
Curicó Valley,80
Northern Spain,80
Levante,80
California,80
Washington,80
California,80
Central Valley,80
California,80
Mendoza Province,80
Loire Valley,80
Other,80
California,80
Central Spain,80
Mendoza Province,80
California,80
Mendoza Province,80
Galil,80
Maule Valley,80
New York,80
California,80
Catalonia,80
California,80
Mendoza Province,80
California,80
Galicia,80
Other,80
Central Spain,80
Mendoza Province,80
California,80
Mendoza Province,80
Northern Spain,80
Central Spain,80
Northern Spain,80
Central Spain,80
Levante,80
Colchagua Valley,80
Catalonia,80
California,80
Limarí Valley,80
California,80
Colchagua Valley,80
California,80
Other,80
South Australia,80
California,80
Mendoza Province,80
Central Spain,80
Mendoza Province,80
Northern Spain,80
Mendoza Province,80
Central Spain,80
California,80
Oregon,80
California,80
Northern Spain,80
California,80
Northern Spain,80
California,80
Virginia,80
Northern Spain,80
Virginia,80
Central Valley,80
Colchagua Valley,80
California,80
Maipo Valley,80
Casablanca Valley,80
Maule Valley,80
California,80
America,80
Mendoza Province,80
Maipo Valley,80
Mendoza Province,80
Catalonia,80
California,80
Central Valley,80
Casablanca Valley,80
Itata Valley,80
Texas,80
California,80
Mendoza Province,80
California,80
Mendoza Province,80
California,80
Mendoza Province,80
California,80
Aconcagua Valley,80
California,80
Maipo Valley,80
Texas,80
Alsace,80
Texas,80
Maipo Valley,80
Valle de Guadalupe,80
Catalonia,80
Northern Spain,80
Catalonia,80
Northern Spain,80
Central Spain,80
Mendoza Province,80
Northern Spain,80
Mendoza Province,80
Northern Spain,80
Colchagua Valley,80
California,80
Central Spain,80
Northern Spain,80
California,80
Northern Spain,80
Levante,80
California,80
Northern Spain,80
Itata Valley,80
California,80
Idaho,80
Levante,80
Serra Gaúcha,80
Northern Spain,80
Mendoza Province,80
Northern Spain,80
Mendoza Province,80
Bordeaux,80
California,80
Mendoza Province,80
Bordeaux,80
Northern Spain,80
Maipo Valley,80
Alsace,80
California,80
Aconcagua Valley,80
California,80
Northern Spain,80
California,80
Loire Valley,80
Northern Spain,80
Ica,80
California,80
Vale dos Vinhedos,80
Juanico,80
California,80
Casablanca Valley,80
Northern Spain,80
California,80
Central Valley,80
California,80
Central Valley,80
California,80
Northern Spain,80
Mendoza Province,80
Curicó Valley,80
Maipo Valley,80
Mendoza Province,80
Maipo Valley,80
Mendoza Province,80
California,80
New York,80
California,80
New York,80
California,80
New York,80
Mendoza Province,80
Australia Other,80
Maule Valley,80
California,80
Washington,80
Catalonia,80
Bulgaria,80
California,80
Mendoza Province,80
California,80
Oregon,80
California,80
Other,80
Italy Other,80
California,80
Maule Valley,80
California,80
Vinho Verde,80
Northern Spain,80
California,80
Central Valley,80
Maipo Valley,80
California,80
Mendoza Province,80
California,80
Mendoza Province,80
Northern Spain,80
Mendoza Province,80
Northern Spain,80
Cachapoal Valley,80
Casablanca Valley,80
Mendoza Province,80
Levante,80
California,80
Mendoza Province,80
California,80
France Other,80
California,80
Alsace,80
California,80
Central Valley,80
Canelones,80
Maipo Valley,80
California,80
Central Valley,80
California,80
Northern Spain,80
Lisboa,80
Spain Other,80
California,80
Mendoza Province,80
California,80
Mendoza Province,80
Central Spain,80
Northern Spain,80
Mendoza Province,80
California,80
Mendoza Province,80
California,80
Mendoza Province,80
Other,80
Mendoza Province,80
Other,80
Central Spain,80
Levante,80
Mendoza Province,80
Central Spain,80
California,80
Northern Spain,80
Mendoza Province,80
California,80
Mendoza Province,80
Central Valley,80
Veneto,80
California,80
Alsace,80
Oregon,80
California,80
Northern Spain,80
San Antonio de las Minas Valley,80
Northern Spain,80
Mendoza Province,80
Catalonia,80
Mendoza Province,80
California,80
Missouri,80
California,80
Missouri,80
Colorado,80
Pennsylvania,80
Mendoza Province,80
Rapel Valley,81
California,81
Maipo Valley,81
California,81
Maule Valley,81
Oregon,81
Central Valley,81
California,81
Bordeaux,81
Cachapoal Valley,81
California,81
Central Spain,81
California,81
Casablanca Valley,81
Catalonia,81
Other,81
Mendoza Province,81
Alentejano,81
Central Spain,81
Catalonia,81
Mendoza Province,81
Galicia,81
Limarí Valley,81
Maipo Valley,81
Mendoza Province,81
Tuscany,81
Table wine,81
Negev Hills,81
Languedoc-Roussillon,81
Samson,81
Northern Spain,81
California,81
